hidden_size,n_layers,lr,weight_std,normalize,activation,batch_size,epochs,train_loss,val_loss,train_acc,test_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_auc,test_auc,time_s
16,1,0.05,0.1,True,relu,32,300,0.27768748639652513,0.3225536012268378,0.9090909090909091,0.8524590163934426,0.908256880733945,0.8518518518518519,0.8918918918918919,0.8214285714285714,0.9,0.8363636363636363,0.9518602572037687,0.9318181818181819,0.28830480575561523
16,1,0.1,0.1,True,relu,32,300,0.2521013937703126,0.331183258073726,0.9421487603305785,0.8032786885245902,0.944954128440367,0.8076923076923077,0.9279279279279279,0.75,0.9363636363636364,0.7777777777777778,0.9592875318066157,0.9329004329004329,0.29364514350891113
32,1,0.01,0.1,True,relu,32,300,0.3767104193158871,0.3567178814587391,0.871900826446281,0.8688524590163934,0.8921568627450981,0.8571428571428571,0.8198198198198198,0.8571428571428571,0.8544600938967136,0.8571428571428571,0.9279966989890653,0.948051948051948,0.3057126998901367
32,1,0.05,0.1,True,relu,32,300,0.25940404245657367,0.3095138652845456,0.9173553719008265,0.8524590163934426,0.9252336448598131,0.8518518518518519,0.8918918918918919,0.8214285714285714,0.908256880733945,0.8363636363636363,0.958874905439791,0.9383116883116883,0.29712510108947754
32,1,0.1,0.1,True,relu,32,300,0.2223464179996243,0.32160153625773336,0.9628099173553719,0.8688524590163934,0.9811320754716981,0.8571428571428571,0.9369369369369369,0.8571428571428571,0.9585253456221198,0.8571428571428571,0.9674025170208377,0.9329004329004329,0.2978556156158447
8,2,0.01,0.1,True,relu,32,300,0.65378213263352,0.6531042963870095,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.863145588336428,0.882034632034632,0.403656005859375
8,2,0.05,0.1,True,relu,32,300,0.2942110991540598,0.3430896532484866,0.8925619834710744,0.8360655737704918,0.897196261682243,0.8461538461538461,0.8648648648648649,0.7857142857142857,0.8807339449541285,0.8148148148148148,0.9466336565573207,0.9253246753246753,0.3662562370300293
8,2,0.1,0.1,True,relu,32,300,0.2546662354573699,0.33449345259622715,0.9380165289256198,0.8360655737704918,0.9285714285714286,0.8214285714285714,0.9369369369369369,0.8214285714285714,0.9327354260089686,0.8214285714285714,0.959149989684341,0.9393939393939394,0.38388943672180176
16,2,0.01,0.1,True,relu,32,300,0.5994488271817197,0.5961350098503819,0.7520661157024794,0.7540983606557377,0.9180327868852459,0.9333333333333333,0.5045045045045045,0.5,0.6511627906976745,0.6511627906976745,0.9067464410975862,0.9036796536796537,0.38494086265563965
16,2,0.05,0.1,True,relu,32,300,0.273693946432053,0.3329125768277975,0.9049586776859504,0.8360655737704918,0.9150943396226415,0.8,0.8738738738738738,0.8571428571428571,0.8940092165898618,0.8275862068965517,0.9528918231208308,0.9329004329004329,0.43244075775146484
16,2,0.1,0.1,True,relu,32,300,0.23398176271454846,0.47057167527899524,0.9752066115702479,0.819672131147541,0.981651376146789,0.84,0.963963963963964,0.75,0.9727272727272728,0.7924528301886793,0.9630699401691768,0.9199134199134198,0.40125155448913574
32,2,0.01,0.1,True,relu,32,300,0.5011912989407654,0.501540958588119,0.8429752066115702,0.8688524590163934,0.8842105263157894,0.8333333333333334,0.7567567567567568,0.8928571428571429,0.8155339805825242,0.8620689655172413,0.9133484629667835,0.922077922077922,0.443187952041626
32,2,0.05,0.1,True,relu,32,300,0.23662421908740086,0.33144436082768286,0.9297520661157025,0.8360655737704918,0.9351851851851852,0.8214285714285714,0.9099099099099099,0.8214285714285714,0.9223744292237442,0.8214285714285714,0.9612131215184652,0.933982683982684,0.43518924713134766
32,2,0.1,0.1,True,relu,32,300,0.1592422354302306,0.35765527450357315,0.9752066115702479,0.8360655737704918,0.9906542056074766,0.875,0.954954954954955,0.75,0.9724770642201835,0.8076923076923077,0.97441716525686,0.9383116883116882,0.4894673824310303
8,1,0.01,0.5,True,relu,32,300,0.4338763021244086,0.43078621216189034,0.8181818181818182,0.8360655737704918,0.8130841121495327,0.8214285714285714,0.7837837837837838,0.8214285714285714,0.7981651376146789,0.8214285714285714,0.8808885221098961,0.8863636363636364,0.2813694477081299
8,1,0.05,0.5,True,relu,32,300,0.32229570899528626,0.35989243989880315,0.8842975206611571,0.8524590163934426,0.8952380952380953,0.88,0.8468468468468469,0.7857142857142857,0.8703703703703703,0.8301886792452831,0.9355615157141874,0.9188311688311689,0.2635624408721924
8,1,0.1,0.5,True,relu,32,300,0.2996620274679336,0.3938378156943325,0.9173553719008265,0.8360655737704918,0.9252336448598131,0.8461538461538461,0.8918918918918919,0.7857142857142857,0.908256880733945,0.8148148148148148,0.9515851729592187,0.9166666666666666,0.28226447105407715
